consensus,function,placement,No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),simulation time(sec),total prepare time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs),average upload data(bytes),average download data(bytes)
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,21,-1.0,160.47989901374365,26.058269682384662,0.5472236633300779,0.0007658004760742188,0.2378906249999999,0.11894531249999996,0.0,0.5213806629180908,2436.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,20,-1.0,157.35088967695472,24.961524009704604,0.49923048019409205,0.0004703998565673828,0.18125,0.090625,0.0,0.5195894241333008,1856.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,17,-1.0,128.31564184406398,20.039531483369714,0.3406720352172852,0.00035500526428222656,0.11554687499999995,0.057773437499999976,0.0,0.40862202644348145,1183.2,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,24,-1.0,188.59776813696908,28.922176361083974,0.6941322326660153,0.0005972385406494141,0.2718749999999999,0.13593749999999996,0.0,0.6375420093536377,2784.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,18,-1.0,130.56194646490943,20.843722025553387,0.37518699645996095,0.0006899833679199219,0.12234374999999995,0.06117187499999997,0.0,0.45794129371643066,1252.8,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,24,-1.0,193.62825276982417,29.310868183771756,0.7034608364105222,0.000537872314453125,0.2718749999999999,0.13593749999999996,0.0,0.6432812213897705,2784.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,20,-1.0,162.34601512303573,25.38269042968751,0.5076538085937502,0.00047016143798828125,0.18125,0.090625,0.0,0.5189859867095947,1856.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,22,-1.0,172.5071912067392,27.780465646223576,0.6111702442169187,0.0005578994750976562,0.2492187499999999,0.12460937499999995,0.0,0.5813605785369873,2552.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,20,-1.0,157.2840300074385,24.65327262878419,0.49306545257568385,0.0004398822784423828,0.18125,0.090625,0.0,0.5110781192779541,1856.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2000,100,<-parameter / result->,23,-1.0,185.43474715277054,28.322356680165154,0.6514142036437985,0.0005035400390625,0.2605468749999999,0.13027343749999995,0.0,0.5798642635345459,2668.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,25,-1.0,187.41657542443684,28.42732429504393,0.7106831073760983,0.0005762577056884766,0.28320312499999994,0.14160156249999997,0.0,0.6145675182342529,2900.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,29,-1.0,204.00735318331434,31.965213972946696,0.9269912052154541,0.000736236572265625,0.39421875000000006,0.19710937500000003,0.0,0.7725462913513184,4036.8,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,41,-1.0,238.4405318645419,36.21339193204551,1.4847490692138658,0.0013425350189208984,0.6502343750000003,0.3251171875000001,0.0,1.114168643951416,6658.4,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,27,-1.0,192.93850111582915,29.69809638129339,0.8018486022949215,0.0007631778717041016,0.305859375,0.1529296875,0.0,0.7169654369354248,3132.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,26,-1.0,187.18367385044363,29.281253081101625,0.7613125801086422,0.0007708072662353516,0.29453124999999997,0.14726562499999998,0.0,0.7335896492004395,3016.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,60,-1.0,274.6816260471784,39.891121387481704,2.393467283248902,0.0015811920166015625,1.0874999999999984,0.5437499999999992,0.0,1.6430559158325195,11136.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,24,-1.0,187.91758939468275,28.44759424527485,0.6827422618865964,0.0006732940673828125,0.2718749999999999,0.13593749999999996,0.0,0.6121037006378174,2784.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,37,-1.0,232.71820333988748,35.266101167008664,1.3048457431793206,0.0010142326354980469,0.5867968750000002,0.2933984375000001,0.0,0.9536287784576416,6008.8,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,18,-1.0,131.6887729316185,20.54751343197293,0.3698552417755127,0.0004057884216308594,0.12234374999999995,0.06117187499999997,0.0,0.48839640617370605,1252.8,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2100,100,<-parameter / result->,25,-1.0,188.29486161928162,28.85277748107909,0.7213194370269772,0.0006201267242431641,0.28320312499999994,0.14160156249999997,0.0,0.6640598773956299,2900.0,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2200,100,<-parameter / result->,47,-1.0,216.8611646373364,36.462851382316394,1.7137540149688704,0.0019347667694091797,0.7453906250000003,0.37269531250000015,0.0,1.359464406967163,7632.8,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2200,100,<-parameter / result->,23,-1.0,164.18920473135344,25.16457682070525,0.5787852668762208,0.0006783008575439453,0.2084375,0.10421875,0.0,0.5970044136047363,2134.4,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2200,100,<-parameter / result->,23,-1.0,164.19921939849843,25.33203995746115,0.5826369190216064,0.0007605552673339844,0.2084375,0.10421875,0.0,0.6883509159088135,2134.4,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2200,100,<-parameter / result->,17,-1.0,116.90420810471075,19.357359830070944,0.329075117111206,0.0005090236663818359,0.11554687499999995,0.057773437499999976,0.0,0.43691396713256836,1183.2,0.0
2,1,2,10,10,3,1000,0,0,100.0,200.0,False,-2,2000,2200,100,<-parameter / result->,18,-1.0,121.62939687366506,19.803647465176052,0.3564656543731689,0.0005726814270019531,0.12234374999999995,0.06117187499999997,0.0,0.4926474094390869,1252.8,0.0
