consensus,function,placement,No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),simulation time(sec),total prepare time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs),average upload data(bytes),average download data(bytes)
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,240,5,<-parameter / result->,56,1.3827634716033925,296.09722624506264,24.69220485006058,1.3827634716033925,0.0007622241973876953,0.8881250000000004,0.4440625000000002,0.0,0.15441560745239258,9094.4,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,241,5,<-parameter / result->,346,7.39143373489383,291.69545132300897,21.36252524535789,7.39143373489383,0.003807544708251953,4.7034375000000175,2.3517187500000087,0.0,0.8436200618743896,48163.2,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,242,5,<-parameter / result->,324,6.905568008422881,294.1953383375112,21.313481507478027,6.905568008422881,0.0031499862670898438,4.404375000000016,2.202187500000008,0.0,0.7338345050811768,45100.8,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,243,5,<-parameter / result->,51,1.2612871074676508,289.09415506849115,24.731119754267663,1.2612871074676508,0.0005178451538085938,0.8088281250000003,0.40441406250000017,0.0,0.12791943550109863,8282.4,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,244,5,<-parameter / result->,259,5.517469005584739,290.52305344541253,21.30296913353181,5.517469005584739,0.0026950836181640625,3.5207812500000117,1.7603906250000059,0.0,0.5799739360809326,36052.8,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,245,5,<-parameter / result->,62,-1.0,96.38741585516152,17.417180153631385,1.079865169525146,0.0006041526794433594,0.7023437500000007,0.35117187500000036,0.0,0.0866231918334961,7192.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,246,5,<-parameter / result->,30,-1.0,78.12018070220947,14.061296780904138,0.4218389034271241,0.0002872943878173828,0.2718749999999999,0.13593749999999996,0.0,0.041871070861816406,2784.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,247,5,<-parameter / result->,195,4.154287719726578,291.5672147604148,21.304039588341425,4.154287719726578,0.0020575523376464844,2.650781250000007,1.3253906250000036,0.0,0.44132161140441895,27144.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,248,5,<-parameter / result->,20,-1.0,58.151134529499096,10.550687313079832,0.21101374626159664,0.00019097328186035156,0.13593749999999996,0.06796874999999998,0.0,0.027243852615356445,1392.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,249,5,<-parameter / result->,20,-1.0,57.7024091720581,10.579905509948729,0.21159811019897456,0.00019812583923339844,0.13593749999999996,0.06796874999999998,0.0,0.027698278427124023,1392.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,250,5,<-parameter / result->,71,-1.0,98.98621209910213,17.463923843813618,1.239938592910767,0.0006878376007080078,0.8042968750000009,0.40214843750000046,0.0,0.10084009170532227,8236.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,251,5,<-parameter / result->,144,3.0733475971222024,285.5210941500145,21.342691646681963,3.0733475971222024,0.00145721435546875,1.9575000000000038,0.9787500000000019,0.0,0.3376145362854004,20044.8,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,252,5,<-parameter / result->,20,-1.0,59.00054864883421,10.608491897583006,0.2121698379516601,0.00026297569274902344,0.13593749999999996,0.06796874999999998,0.0,0.027914762496948242,1392.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,253,5,<-parameter / result->,123,2.6334107017517168,281.99320368262903,21.409843103672497,2.6334107017517168,0.001233816146850586,1.6720312500000023,0.8360156250000012,0.0,0.2861299514770508,17121.6,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,254,5,<-parameter / result->,77,-1.0,96.80529111391536,17.392665689641788,1.3392352581024178,0.0006957054138183594,0.872265625000001,0.4361328125000005,0.0,0.10297012329101562,8932.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,255,5,<-parameter / result->,111,2.3775823783874577,280.61546000918906,21.419661066553672,2.3775823783874577,0.0011556148529052734,1.5089062500000014,0.7544531250000007,0.0,0.2692294120788574,15451.2,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,256,5,<-parameter / result->,115,2.4465940475463936,280.4218857640815,21.27473084822951,2.4465940475463936,0.0011932849884033203,1.5632812500000017,0.7816406250000009,0.0,0.28357553482055664,16008.0,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,257,5,<-parameter / result->,106,2.2609600734710753,279.14263629913404,21.32981201387807,2.2609600734710753,0.0010371208190917969,1.440937500000001,0.7204687500000005,0.0,0.2517714500427246,14755.2,0.0
2,1,2,10,10,3,50,0,0,100.0,200.0,False,-2,100,258,5,<-parameter / result->,92,-1.0,99.45583727048799,17.494799779809068,1.609521579742434,0.0009198188781738281,1.042187500000001,0.5210937500000005,0.0,0.14183902740478516,10672.0,0.0
