No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.8865524232387543 , elapsed time(secs): 31.092419385910034
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.571487933397293 , elapsed time(secs): 28.571903467178345
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.6096969842910767 , elapsed time(secs): 28.877575874328613
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 4.124848365783691 , elapsed time(secs): 32.99878692626953
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.5086982250213623 , elapsed time(secs): 28.0695858001709
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.734665870666504 , elapsed time(secs): 29.87732696533203
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 4.024317532777786 , elapsed time(secs): 32.19454026222229
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.735577404499054 , elapsed time(secs): 29.88461923599243
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.898432493209839 , elapsed time(secs): 31.18745994567871
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.119215279817581 , elapsed time(secs): 24.95372223854065
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 4.075980067253113 , elapsed time(secs): 32.6078405380249
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.986871600151062 , elapsed time(secs): 31.894972801208496
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.8488983809947968 , elapsed time(secs): 30.791187047958374
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.459597587585449 , elapsed time(secs): 27.676780700683594
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.735761433839798 , elapsed time(secs): 29.886091470718384
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.936648279428482 , elapsed time(secs): 31.493186235427856
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 4.489252984523773 , elapsed time(secs): 35.914023876190186
No. user: 4, No. miner: 5 , No. minerNeighbours: 2 , No. tx: 8 , average tx time(secs): 3.874413877725601 , elapsed time(secs): 30.99531102180481
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.375947564840317 , elapsed time(secs): 35.007580518722534
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.728464722633362 , elapsed time(secs): 37.827717781066895
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.539940178394318 , elapsed time(secs): 36.31952142715454
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.552312791347504 , elapsed time(secs): 36.41850233078003
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.351135224103928 , elapsed time(secs): 34.80908179283142
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.539355248212814 , elapsed time(secs): 36.314841985702515
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.175803899765015 , elapsed time(secs): 33.40643119812012
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.729492276906967 , elapsed time(secs): 37.83593821525574
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.477459758520126 , elapsed time(secs): 35.81967806816101
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.414908021688461 , elapsed time(secs): 35.31926417350769
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.3891503512859344 , elapsed time(secs): 35.113202810287476
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.112602323293686 , elapsed time(secs): 32.90081858634949
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.414326220750809 , elapsed time(secs): 35.31460976600647
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.162914007902145 , elapsed time(secs): 33.30331206321716
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.627735048532486 , elapsed time(secs): 37.02188038825989
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.476837635040283 , elapsed time(secs): 35.814701080322266
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.490102678537369 , elapsed time(secs): 35.92082142829895
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.175447732210159 , elapsed time(secs): 33.403581857681274
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.678216278553009 , elapsed time(secs): 37.42573022842407
No. user: 4, No. miner: 5 , No. minerNeighbours: 3 , No. tx: 8 , average tx time(secs): 4.414043188095093 , elapsed time(secs): 35.31234550476074
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.063940107822418 , elapsed time(secs): 61.278802156448364
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.3504977226257324 , elapsed time(secs): 67.00995445251465
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.952692246437073 , elapsed time(secs): 59.053844928741455
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.280155086517334 , elapsed time(secs): 65.60310173034668
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.5462841629981994 , elapsed time(secs): 70.92568325996399
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.0937710046768188 , elapsed time(secs): 61.87542009353638
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.189562165737152 , elapsed time(secs): 63.79124331474304
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.3153310894966124 , elapsed time(secs): 66.30662178993225
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.661183202266693 , elapsed time(secs): 53.22366404533386
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.230152761936188 , elapsed time(secs): 64.60305523872375
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.9376301765441895 , elapsed time(secs): 58.75260353088379
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.3852492570877075 , elapsed time(secs): 67.70498514175415
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.8670575261116027 , elapsed time(secs): 57.341150522232056
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.3854560256004333 , elapsed time(secs): 67.70912051200867
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.9073461055755616 , elapsed time(secs): 58.14692211151123
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.555880236625671 , elapsed time(secs): 71.11760473251343
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.224447047710419 , elapsed time(secs): 64.48894095420837
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 2.7917563557624816 , elapsed time(secs): 55.835127115249634
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.0985652685165403 , elapsed time(secs): 61.97130537033081
No. user: 5, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 20 , average tx time(secs): 3.153897535800934 , elapsed time(secs): 63.07795071601868
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.886067646741867 , elapsed time(secs): 115.44270586967468
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 2.9690544664859773 , elapsed time(secs): 118.76217865943909
No. user: 10, No. miner: 10 , No. minerNeighbours: 2 , No. tx: 40 , average tx time(secs): 3.111556613445282 , elapsed time(secs): 124.46226453781128
