No. user: 5, No. miner: 12 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 4.407954323291778 , elapsed time(secs): 88.15908646583557
No. user: 5, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 1.6294809103012085 , elapsed time(secs): 32.58961820602417
No. user: 5, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 1.6293481111526489 , elapsed time(secs): 32.58696222305298
No. user: 5, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 1.6242952227592469 , elapsed time(secs): 32.48590445518494
No. user: 5, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 1.6246911644935609 , elapsed time(secs): 32.493823289871216
No. user: 5, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 1.6246745586395264 , elapsed time(secs): 32.49349117279053
No. user: 5, No. miner: 10 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 3.916994595527649 , elapsed time(secs): 78.33989191055298
No. user: 5, No. miner: 10 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 3.7071865439414977 , elapsed time(secs): 74.14373087882996
No. user: 5, No. miner: 10 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 3.5212655305862426 , elapsed time(secs): 70.42531061172485
No. user: 5, No. miner: 10 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 4.041292428970337 , elapsed time(secs): 80.82584857940674
No. user: 5, No. miner: 10 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 3.6981575965881346 , elapsed time(secs): 73.9631519317627
No. user: 5, No. miner: 15 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 5.39106103181839 , elapsed time(secs): 107.8212206363678
No. user: 5, No. miner: 15 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 5.225007164478302 , elapsed time(secs): 104.50014328956604
No. user: 5, No. miner: 15 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 5.061270654201508 , elapsed time(secs): 101.22541308403015
No. user: 5, No. miner: 15 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 4.780271208286285 , elapsed time(secs): 95.60542416572571
No. user: 5, No. miner: 15 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 4.935542821884155 , elapsed time(secs): 98.7108564376831
No. user: 5, No. miner: 20 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 7.140589487552643 , elapsed time(secs): 142.81178975105286
No. user: 5, No. miner: 20 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 7.350606548786163 , elapsed time(secs): 147.01213097572327
No. user: 5, No. miner: 20 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 7.039155375957489 , elapsed time(secs): 140.78310751914978
No. user: 5, No. miner: 20 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 6.898150336742401 , elapsed time(secs): 137.96300673484802
No. user: 5, No. miner: 20 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 7.224138259887695 , elapsed time(secs): 144.4827651977539
No. user: 5, No. miner: 50 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 17.353125965595247 , elapsed time(secs): 347.0625193119049
No. user: 5, No. miner: 50 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 16.415271818637848 , elapsed time(secs): 328.30543637275696
No. user: 5, No. miner: 50 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 17.144365882873537 , elapsed time(secs): 342.8873176574707
No. user: 5, No. miner: 50 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 17.134186148643494 , elapsed time(secs): 342.6837229728699
No. user: 5, No. miner: 50 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 16.97348530292511 , elapsed time(secs): 339.4697060585022
No. user: 5, No. miner: 100 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 33.971325755119324 , elapsed time(secs): 679.4265151023865
No. user: 5, No. miner: 100 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 34.04048582315445 , elapsed time(secs): 680.809716463089
No. user: 5, No. miner: 100 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 34.543431556224824 , elapsed time(secs): 690.8686311244965
No. user: 5, No. miner: 100 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 31.247733306884765 , elapsed time(secs): 624.9546661376953
No. user: 5, No. miner: 100 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 33.10763926506043 , elapsed time(secs): 662.1527853012085

No. user: 5, No. miner: 500 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 163.24652136564254 , elapsed time(secs): 3264.930427312851

pow
No. user: 5, No. miner: 50 , No. minerNeighbours: 4 , No. tx: 20 , average tx time(secs): 7.679857766628265 , elapsed time(secs): 153.5971553325653
No. user: 2, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 4 , average tx time(secs): 3.292534828186035 , elapsed time(secs): 13.17013931274414
pos
No. user: 2, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 4 , average tx time(secs): 4.296902596950531 , elapsed time(secs): 17.187610387802124
poa
No. user: 2, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 4 , average tx time(secs): 4.246664643287659 , elapsed time(secs): 16.986658573150635
pos
No. user: 2, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 4 , average tx time(secs): 4.323502957820892 , elapsed time(secs): 17.29401183128357
No. user: 2, No. miner: 5 , No. minerNeighbours: 4 , No. tx: 4 , average tx time(secs): 4.297151505947113 , elapsed time(secs): 17.188606023788452
