No. user,No. miner,No. minerNeighbours,init No. tx:,delay between fog node(ms),delay between end users(ms),upload bandwidth(KB/S),download bandwidth(KB/S),gossip,fail pending time(secs),queue limit,injection rate(per sec),tx per block,<-parameter / result->,final No. block,fail time(secs),average transaction pending time(ms),average block time(ms),average uploadtime(ms),average downloadtime(ms),simulation time(sec),total upload time(sec),total download time(sec),total network delay time(sec),elapsed time(secs)
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,12,-1.0,1204.3599298828883,222.22803990046182,148.04443359375,74.022216796875,2.666736478805542,1.776533203125,0.8882666015625,0.0,0.005421876907348633
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,12,-1.0,1588.120578002604,311.7759362856547,207.74088541666669,103.87044270833334,3.7413112354278564,2.4928906250000002,1.2464453125000001,0.0,0.005957365036010742
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,12,-1.0,1201.2573933601377,222.42860237757364,148.17138671875,74.085693359375,2.6691432285308836,1.778056640625,0.8890283203125,0.0,0.005688667297363281
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,12,-1.0,1183.0193619436666,223.08870792388916,148.62304687500003,74.31152343750001,2.67706449508667,1.7834765625000004,0.8917382812500002,0.0,0.005269527435302734
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,12,-1.0,1203.752979116237,222.16546773910525,147.98828124999997,73.99414062499999,2.665985612869263,1.7758593749999996,0.8879296874999998,0.0,0.005254507064819336
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,14,-1.0,2741.404339715383,571.549391065325,380.89355468749994,190.44677734374997,8.00169147491455,5.332509765625,2.6662548828125,0.0,0.009282350540161133
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,13,-1.0,1961.1603439478597,387.6228772676908,258.2895132211539,129.14475661057696,5.03909740447998,3.3577636718750004,1.6788818359375002,0.0,0.00716400146484375
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,13,-1.0,2366.3075514357224,487.42036012502814,324.83022836538464,162.41511418269232,6.336464681625366,4.22279296875,2.111396484375,0.0,0.007781505584716797
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,12,-1.0,1605.3424010667384,311.0153897603353,207.23307291666669,103.61653645833334,3.732184677124024,2.486796875,1.2433984375,0.0,0.005984067916870117
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,50,100,<-parameter / result->,13,-1.0,1974.9043067424532,386.6493445176345,257.65474759615387,128.82737379807693,5.026441478729248,3.34951171875,1.674755859375,0.0,0.006778717041015625
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,13,-1.0,1986.9963189797807,406.4184005443866,270.83082932692315,135.41541466346158,5.283439207077026,3.5208007812500006,1.7604003906250003,0.0,0.007634878158569336
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,14,-1.0,2360.7116244776403,492.9858153206962,328.55189732142867,164.27594866071433,6.901801414489746,4.599726562500001,2.2998632812500004,0.0,0.007779121398925781
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,14,-1.0,2359.1831402006856,493.1796761921473,328.6732700892857,164.33663504464286,6.9045154666900626,4.60142578125,2.300712890625,0.0,0.0076754093170166016
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,13,-1.0,1986.0061129119038,406.7547651437612,271.0486778846154,135.5243389423077,5.287811946868896,3.5236328125,1.76181640625,0.0,0.00705409049987793
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,13,-1.0,1991.6151004211206,404.96715398935174,269.86177884615387,134.93088942307693,5.264573001861573,3.508203125,1.7541015625,0.0,0.0067882537841796875
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,12,-1.0,1195.6294863269482,228.91418457031244,152.49755859375,76.248779296875,2.7469702148437496,1.829970703125,0.9149853515625,0.0,0.005224704742431641
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,14,-1.0,2345.975303422509,493.72309003557484,329.02901785714295,164.51450892857147,6.912123260498048,4.606406250000001,2.3032031250000005,0.0,0.008017301559448242
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,13,-1.0,2004.963422136033,404.4684556814341,269.5237379807692,134.7618689903846,5.258089923858643,3.50380859375,1.751904296875,0.0,0.006779670715332031
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,13,-1.0,1570.024559894875,307.0064603365385,204.55829326923075,102.27914663461537,3.9910839843750003,2.6592578125,1.32962890625,0.0,0.006089210510253906
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,60,100,<-parameter / result->,13,-1.0,1985.271289905344,404.6144118675818,269.62515024038464,134.81257512019232,5.259987354278564,3.505126953125,1.7525634765625,0.0,0.006834506988525391
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,70,100,<-parameter / result->,12,-1.0,1206.9393843311375,235.42044162750244,156.8359375,78.41796875,2.8250452995300295,1.8820312499999998,0.9410156249999999,0.0,0.005292415618896484
10,10,3,1000,0,0,100.0,200.0,False,-2,2000,70,100,<-parameter / result->,13,-1.0,1573.0917119679486,319.4947330768291,212.88461538461536,106.44230769230768,4.1534315299987785,2.7674999999999996,1.3837499999999998,0.0,0.0064809322357177734
